,video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,weight,classifs,classif,pick,round,rec_from
0,CV6Nc6j7f2c,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,1603307431.0,Trump Pressures Barr To Investigate Joe And Hunter Biden | Morning Joe | MSNBC,The president on Tuesday called on Attorney General William Barr to launch an investigation into unverified claims about his challenger Joe Biden and his son ...,,https://i.ytimg.com/vi/CV6Nc6j7f2c/hqdefault.jpg,2020-10-22 11:47:46.430844,-0.5714285714285714,"['PartisanLeft', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Left,False,0,start
1,vfb9FIpobL4,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,1571179599.0,"Hunter Biden on relationship with his dad, addiction battle l ABC News","Biden told ABC News he is not consumed with being ""the subject of Donald Trump's ire"" because he is ""absolutely enveloped in the love of my family."" Exclusive: ...",,https://i.ytimg.com/vi/vfb9FIpobL4/hqdefault.jpg,2020-10-22 11:47:46.430876,-0.3333333333333333,"['PartisanLeft', 'Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
2,TkRBSbFtc4Q,CBS Evening News,UCAeWdyKJXGWmVAXFpgLNNTg,1602828187.0,Hunter Biden tabloid story raises disinformation campaign fears,The Trump campaign is accusing Twitter and Facebook of censorship after the social media companies blocked the spread of an unverified story about former ...,,https://i.ytimg.com/vi/TkRBSbFtc4Q/hqdefault.jpg,2020-10-22 11:47:46.430901,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
3,YGvkd6SWVFs,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1603178989.0,Giuliani Linked To Accused Russian Agent While Digging For Dirt On Hunter Biden | NBC News NOW,An unverified report in the New York Post lead to new questions about Joe Biden's son Hunter. President Trump's personal lawyer Rudy Giuliani has been tied ...,,https://i.ytimg.com/vi/YGvkd6SWVFs/hqdefault.jpg,2020-10-22 11:47:46.430924,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
4,CI_WpkNn454,The Independent,UCshwRhftzkiov5wKR7M_LsQ,1602907206.0,Trump chuckles as Florida rally crowd calls for Hunter Biden&#39;s imprisonment,"Donald Trump chuckled and smirked as a crowd of supporters in Florida chanted ""lock him up"" after he mentioned Democratic presidential nominee Joe Biden's ...",,https://i.ytimg.com/vi/CI_WpkNn454/hqdefault.jpg,2020-10-22 11:47:46.430948,0.0,['Mainstream News'],Neutral,False,0,start
5,WAVp57zf5to,Fox News,UCXIJgqnII2ZOINSWNOGFThA,1603260130.0,Sources tell Fox News FBI has possession of Hunter Biden laptop,FBI and DOJ agree Hunter Biden emails were not Russia disinformation; Fox News' Mike Emanuel reports. #FoxNews Subscribe to Fox News!,,https://i.ytimg.com/vi/WAVp57zf5to/hqdefault.jpg,2020-10-22 11:47:46.430971,1.1428571428571428,"['PartisanRight', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News']",Right,True,0,start
6,obqJ9yhqFos,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,1602989828.0,Hunter Biden NY Post Story linked To Giuliani &amp; Ex-Hannity Staffer | MSNBC,"The Hunter Biden New York Post stories causing controversy are linked to Rudy Giuliani, co-reported on by an ex-Hannity staffer, have many holes, and provide ...",,https://i.ytimg.com/vi/obqJ9yhqFos/hqdefault.jpg,2020-10-22 11:47:46.430993,-0.5714285714285714,"['PartisanLeft', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Left,False,0,start
7,QQEFxWWPats,CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,1598432276.0,Former AG Pam Bondi makes allegations against Joe Biden&#39;s son Hunter Biden,Former Florida Attorney General Pam Bondi makes a number of allegations against Democratic candidate Joe Biden's son. Read more from NBC News here: ...,,https://i.ytimg.com/vi/QQEFxWWPats/hqdefault.jpg,2020-10-22 11:47:46.431014,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
8,rmJGzUo_S98,CNN,UCupvZG-5ko_eiXAupbDfxWw,1570573214.0,Is Hunter Biden a problem for Joe Biden?,"President Donald Trump's desire for foreign governments to investigate former Vice President Joe Biden and his son, Hunter, has become the basis of the ...",,https://i.ytimg.com/vi/rmJGzUo_S98/hqdefault.jpg,2020-10-22 11:47:46.431036,0.375,"['Mainstream News', 'PartisanLeft', 'Conspiracy', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,False,0,start
9,oEdeHwzzM-g,CNN,UCupvZG-5ko_eiXAupbDfxWw,1602917562.0,US investigating if emails connected to Russia disinformation against Biden,US authorities are investigating whether recently published emails that purport to detail the business dealings of Joe Biden's son in Ukraine and China are ...,,https://i.ytimg.com/vi/oEdeHwzzM-g/hqdefault.jpg,2020-10-22 11:47:46.431057,0.375,"['Mainstream News', 'PartisanLeft', 'Conspiracy', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,False,0,start
10,sMNzJiNNAzI,Fox News,UCXIJgqnII2ZOINSWNOGFThA,1603222388.0,"Trump accuses Bidens of 'tremendous corruption,' says AG must act","President Trump tells ‘Fox & Friends' that the attorney general has ‘got to act fast' on ‘major corruption,’ which he says has to be known about before the election.

Subscribe to Fox News! https://bit.ly/2vaBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/

FOX News Channel (FNC) is a 24-hour all-encompassing news service delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for 18 consecutive years. According to a 2020 Brand Keys Consumer Loyalty Engagement Index report, FOX News is the top brand in the country for morning and evening news coverage. A 2019 Suffolk University poll named FOX News as the most trusted source for television news or commentary, while a 2019 Brand Keys Emotion Engagement Analysis survey found that FOX News was the most trusted cable news brand. A 2017 Gallup/Knight Foundation survey also found that among Americans who could name an objective news source, FOX News was the top-cited outlet. Owned by FOX Corporation, FNC is available in nearly 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.

Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight: http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity:  http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/

Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",,https://i.ytimg.com/vi/sMNzJiNNAzI/hqdefault.jpg,2020-10-22 11:47:54.842725,1.1428571428571428,"['PartisanRight', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'PartisanRight', 'Mainstream News']",Right,False,1,CI_WpkNn454
11,DdYr8HFIe84,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1602653759.0,How Trump and Biden are talking to critical Florida voters,"Florida is among the country's biggest prizes on Election Day, as well as one of the key swing states that has voted for the winning presidential candidate for more than 20 years. Its electoral importance explains why both President Trump and Democratic rival Joe Biden have been campaigning there in the past day. Yamiche Alcindor reports.

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",,https://i.ytimg.com/vi/DdYr8HFIe84/hqdefault.jpg,2020-10-22 11:47:54.842763,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,True,1,CI_WpkNn454
12,_zhWHsfEa0U,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,1603033305.0,EXCLUSIVE: Joe Biden's son emailed shop owner about hard drive to 'get it back': Former Trump chief,"Steve Bannon, former chief strategist to President Donald Trump, has revealed Joe Biden's son emailed a shop owner who had his hard drive in an effort to get it back.

The revelations come as the New York Post this week released an expose detailing links between Joe Biden and his son who was paid at least $50,000 a month to sit on the board of a Ukrainian energy company who allegedly set up a meeting with the then-Vice President.

Information regarding Hunter Biden’s relationship with the Ukranian energy company was sourced from a collection of emails recovered from a laptop that was allegedly dropped off at a repair shop in 2019 and later given to the FBI.

It was a water-damaged MacBook Pro and the person who dropped it off never paid for the service and didn't retrieve it or a hard drive on which its contents were stored - according to the shop owner who said he repeatedly tried to contact the customer.
 
Sky News host Sharri Markson said the owner of the repair shop in Biden's home state of Delaware says when he did not hear back from the FBI, he made a copy of the hard drive and gave it to Donald Trump's lawyer, Rudy Giuliani.
 

Emails on the laptop revealed that Hunter Biden had planned to introduce his father – the then-Vice President – to an executive at Ukrainian energy company Burisma, a company where Hunter served on the board of directors.

Publicly, Biden has said he's never spoken to his son about his overseas business dealings. These emails seem to indicate otherwise.
 
In one message sent by Vadym Pozharsky in April 2015, he wrote: ""Dear Hunter, thank you for inviting me to DC and giving an opportunity to meet your father and spent (sic) some time together. It's realty (sic) an honour and pleasure.""

In response to this news, Facebook and Twitter both censored the article from the New York Post, advising they were ""limiting the distribution"" of the story on their platforms until a third-party contractor can ""fact check"" the article.

Mr Bannon told Ms Markson, “Hunter Biden’s lawyer has come to us both with phone calls and with emails saying, ‘hey, I’ve got to get the hard drive back’.”

“This is not some Russian intelligence operation; they admit it’s their hard drive,” Mr Bannon said.

“We have the emails from the Lawyer, if we need to release them, we’ll release them.”",,https://i.ytimg.com/vi/_zhWHsfEa0U/hqdefault.jpg,2020-10-22 11:47:54.842793,1.3333333333333333,"['PartisanRight', 'Mainstream News', 'PartisanRight']",Right,False,1,CI_WpkNn454
13,LDnZO7j8NKk,NewsNOW from FOX,UCJg9wBPyKMNA5sRDnvzmkdg,1602906579.0,"""WHERE IS HUNTER?"" President Trump Says Biden Family IS CORRUPT","Watch what’s happening right NOW from FOX. We are a non-stop stream of breaking news, live events and stories taking place across the nation. Experience news as it occurs with limited commentary and no opinion.",,https://i.ytimg.com/vi/LDnZO7j8NKk/hqdefault.jpg,2020-10-22 11:47:54.842822,1.4285714285714286,"['PartisanRight', 'PartisanRight', 'AntiSJW', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'Mainstream News']",Right,False,1,CI_WpkNn454
14,ykR1SKh1AeU,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1602848007.0,Highlights From Trump And Biden’s Dueling Town Hall Events | NBC News,"Watch highlights from President Trump and Joe Biden’s town hall events, which were simultaneously broadcast live on NBC and ABC, respectively.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

Highlights From Trump And Biden’s Dueling Town Hall Events | NBC News",,https://i.ytimg.com/vi/ykR1SKh1AeU/hqdefault.jpg,2020-10-22 11:47:54.842851,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,1,CI_WpkNn454
15,uldswtA2yPg,Jimmy Kimmel Live,UCa6vGFO9ty8v5KZJXQxdhaw,1603275490.0,Is Muting Donald Trump Even Possible?,"The World Series is under way, voters in LA County won’t be required to wear a mask at the polls, the Commission of Presidential Debates has decided to mute the candidates during Thursday's debate while the other is talking, Tiffany Trump summoned up her family pride to help win over LGBTQ voters in Tampa, a new episode of “The Bachelorette,” and Jimmy helps kids find love.

SUBSCRIBE to get the latest #Kimmel: http://bit.ly/JKLSubscribe

Watch Mean Tweets: http://bit.ly/KimmelMT10

Connect with Jimmy Kimmel Live Online:

Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFB
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTW
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram

About Jimmy Kimmel Live:

Jimmy Kimmel serves as host and executive producer of Emmy®-nominated “Jimmy Kimmel Live!,” ABC’s late-night talk show. “Jimmy Kimmel Live!” is well known for its huge viral video successes, with over 11 billion views and more than 15 million subscribers on the show’s YouTube channel. Some of Kimmel’s most popular comedy bits include “Celebrities Read Mean Tweets,” “Lie Witness News,” “Unnecessary Censorship,” “Halloween Candy YouTube Challenge,” and music videos like “I (Wanna) Channing All Over Your Tatum.”",,https://i.ytimg.com/vi/uldswtA2yPg/hqdefault.jpg,2020-10-22 11:47:55.474190,-1.7142857142857142,"['LateNightTalkShow', 'PartisanLeft', 'PartisanLeft', 'LateNightTalkShow', 'PartisanLeft', 'SocialJustice', 'LateNightTalkShow']",Far Left,True,2,DdYr8HFIe84
16,j8k8hj5VyM0,CNBC Television,UCrp_UI8XtuYfpiqluWLD7Lw,1601455652.0,Joe Biden and President Donald Trump discuss Covid-19 in first debate,"President Donald Trump and former Vice President Joe Biden face off in the first presidential debate Tuesday night, hosted by Case Western Reserve University in Cleveland, Ohio. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

Biden swiped at Trump over the president’s early handling of the coronavirus, alleging that the administration started to inform the public of the disease’s severity only when it hit the stock market.

“Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to Covid?” Biden asked. “He still hasn’t even acknowledged that he knew this was happening — knew how dangerous it would be back in February — and he didn’t even tell you.”

“He panicked, or just looked at the stock market, one of the two,” Biden added. “Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter or a lot quicker.”

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC
 
For info on the best credit cards go to CNBC Select: 
https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",,https://i.ytimg.com/vi/j8k8hj5VyM0/hqdefault.jpg,2020-10-22 11:47:55.474225,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,2,DdYr8HFIe84
17,yRmN7YgGd4Y,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,1601462884.0,Trump and Biden address race issues in America,"WATCH THE FULL DEBATE: https://bit.ly/30m73sT

“It's about equity and equality, decency. It's about the Constitution,” said Joe Biden.

Live Updates: https://abcn.ws/36hj9az 

SUBSCRIBE to ABC NEWS: https://bit.ly/2vZb6yP
Watch More on http://abcnews.go.com/ 
LIKE ABC News on FACEBOOK https://www.facebook.com/abcnews 
FOLLOW ABC News on TWITTER: https://twitter.com/abc

#2020Debate #President #Trump #Biden #PresidentialDebate #2020Election #Politics #BreakingNews #ABCNews",,https://i.ytimg.com/vi/yRmN7YgGd4Y/hqdefault.jpg,2020-10-22 11:47:55.474254,-0.3333333333333333,"['PartisanLeft', 'Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,2,DdYr8HFIe84
18,4swzg3NV9tI,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,1602573343.0,Trump dances to YMCA at Florida rally,Watch President Donald Trump dance to YMCA at the end of his first rally since contracting COVID-19.,,https://i.ytimg.com/vi/4swzg3NV9tI/hqdefault.jpg,2020-10-22 11:47:55.474282,1.3333333333333333,"['PartisanRight', 'Mainstream News', 'PartisanRight']",Right,False,2,DdYr8HFIe84
19,ZjK6QaTSI4Q,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1603335068.0,WATCH LIVE: FDA advisory committee assesses COVID-19 vaccine development,"Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour


Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",,https://i.ytimg.com/vi/ZjK6QaTSI4Q/hqdefault_live.jpg,2020-10-22 11:47:55.474308,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,False,2,DdYr8HFIe84
20,SqlYNWTT-4Y,Jimmy Kimmel Live,UCa6vGFO9ty8v5KZJXQxdhaw,1603192837.0,Borat Gives Jimmy Kimmel a Coronavirus Inspection,"Borat makes his appearance on the show, but before it can officially begin, he makes Jimmy go through a plague questionnaire, a physical examination and then introduces him to his daughter Tutar who really really wants his pants.

SUBSCRIBE to get the latest #Kimmel: http://bit.ly/JKLSubscribe

Watch Mean Tweets: http://bit.ly/KimmelMT10

Connect with Jimmy Kimmel Live Online:

Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFB
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTW
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram

About Jimmy Kimmel Live:

Jimmy Kimmel serves as host and executive producer of Emmy®-nominated “Jimmy Kimmel Live!,” ABC’s late-night talk show. “Jimmy Kimmel Live!” is well known for its huge viral video successes, with over 11 billion views and more than 15 million subscribers on the show’s YouTube channel. Some of Kimmel’s most popular comedy bits include “Celebrities Read Mean Tweets,” “Lie Witness News,” “Unnecessary Censorship,” “Halloween Candy YouTube Challenge,” and music videos like “I (Wanna) Channing All Over Your Tatum.”",,https://i.ytimg.com/vi/SqlYNWTT-4Y/hqdefault.jpg,2020-10-22 11:47:55.998557,-1.7142857142857142,"['LateNightTalkShow', 'PartisanLeft', 'PartisanLeft', 'LateNightTalkShow', 'PartisanLeft', 'SocialJustice', 'LateNightTalkShow']",Far Left,False,3,uldswtA2yPg
