video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from
holILMZV40I,CNN,UCupvZG-5ko_eiXAupbDfxWw,1403207314.0,Brett Favre cuts political ad,"John King, Nia-Malika Henderson and Molly Ball on the political ad making waves in the Miss. primary race.",,https://i.ytimg.com/vi/holILMZV40I/hqdefault.jpg,2020-11-01 21:19:30.028647,Neutral,0.0,"['Mainstream News', 'PartisanLeft', 'Conspiracy', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News']",Neutral,True,0,start
UV4LH2jwJ64,WQOW News 18,UCWZ6ll839N3RC2J5Uqlxg9g,1604135743.0,Brett Favre endorses President Trump,Brett Favre took to Twitter Friday to announce his endorsement for President of the United States.,,https://i.ytimg.com/vi/UV4LH2jwJ64/hqdefault.jpg,2020-11-01 21:19:30.028687,Neutral,0.0,['None'],Neutral,False,0,start
h50G8UtxSDY,Daily News,UCptvcnIwaMeHIuiwcTLGMlQ,1604114314.0,Donald Trump Reacts to Brett Favre&#39;s Endorsement for Reelection,"Brett Favre is showing his support for Donald Trump days before the Presidential election, and Trump appreciates it. On Twitter, Favre announced he's ...",,https://i.ytimg.com/vi/h50G8UtxSDY/hqdefault.jpg,2020-11-01 21:19:30.028716,Neutral,0.0,['None'],Neutral,False,0,start
_wLAAXmshKU,Associated Press,UC52X5wxOL_s5yw0dQk7NtgA,1218233197.0,Bloomberg Welcomes Favre to New York,"New York City Mayor Michael Bloomberg presented Brett Favre with his own Broadway street sign Friday, welcoming the new Jets quarterback to the Big Apple.",,https://i.ytimg.com/vi/_wLAAXmshKU/hqdefault.jpg,2020-11-01 21:19:30.028743,Neutral,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
NZAjKmHn6C8,KSJ-China Insights,UC4DwhYwbevE_645SPfbd2BQ,1604229634.0,Trump responds to Brett Favre&#39;s endorsement in speech 川普在演講中感謝橄欖球巨星法弗的背書 並詼諧搞笑嘲諷拜登,BrettFavre #Trump #NFL NFL legend Brett Favre endorsed Trump. Trump responded at his campaign rally. He talked about the Biden family corruption and the ...,,https://i.ytimg.com/vi/NZAjKmHn6C8/hqdefault.jpg,2020-11-01 21:19:30.028770,Neutral,0.0,['None'],Neutral,False,0,start
LZjDTd3zc8w,NowThis News,UCn4sPeUomNGIr26bElVdDYg,1604124287.0,"Pres. Trump Holds a Campaign Rally in Green Bay, WI | LIVE | NowThis","TRUMP MAKES THIRD STOP IN WISCONSIN THIS WEEK: Pres. Trump is holding a 'super-spreader' campaign rally in Green Bay, Wisconsin—his third stop ...",,https://i.ytimg.com/vi/LZjDTd3zc8w/hqdefault.jpg,2020-11-01 21:19:30.028796,Neutral,-1.625,"['PartisanLeft', 'Mainstream News', 'SocialJustice', 'MissingLinkMedia', 'PartisanLeft', 'PartisanLeft', 'SocialJustice', 'MissingLinkMedia', 'MissingLinkMedia', 'PartisanLeft', 'SocialJustice']",Far Left,False,0,start
07Qn8KNsPIs,Tori Black,UCeIjhDG4pvdTXQj3ix-SFPw,1603408951.0,"FULL, NO ADS | Trump ATW Town Hall","8:40 Fauci 19:38 School Choice 21:40 Brett Favre 42:05 HBCU's These time markers aren't working, I'm gonna stop trying to use them lol This town hall was ...",,https://i.ytimg.com/vi/07Qn8KNsPIs/hqdefault.jpg,2020-11-01 21:19:30.028822,Neutral,0.0,['None'],Neutral,False,0,start
0iqpN0O_rXA,New York Post,UCrvhNP_lWuPIP6QZzJmM-bw,1603427297.0,‘Steaming mad’ Trump tried to short Eric Bolling town hall post-’60 Minutes’ | New York Post,"President Trump was so “steaming mad” after his “60 Minutes” interview with Lesley Stahl on Tuesday, he tried to cut short his next appearance, a much ...",,https://i.ytimg.com/vi/0iqpN0O_rXA/hqdefault.jpg,2020-11-01 21:19:30.028848,Neutral,-0.4,"['MissingLinkMedia', 'PartisanLeft', 'SocialJustice', 'Mainstream News', 'PartisanRight', 'Mainstream News']",Neutral,False,0,start
mti8pNC0FDc,Channel 4 News,UCTrQ7HXWRRxr7OsOtodr2_w,1604090750.0,Has Trump changed politics forever? - Lord Kim Darroch,Kim Darroch was a lifelong Foreign Office Diplomat to rose through the ranks to become British Ambassador to the United States between 2016 and 2019.,,https://i.ytimg.com/vi/mti8pNC0FDc/hqdefault.jpg,2020-11-01 21:19:30.028874,Neutral,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,0,start
7HZmKlWoOmo,CBS News,UC8p1vwvWtl6T73JiExfWs1g,1604145601.0,The Deciders: White voters in 2020,"As part of the CBS News special ""The Deciders,"" ""CBS This Morning"" co-host Gayle King profiles several White female voters, including an ardent Trump ...",,https://i.ytimg.com/vi/7HZmKlWoOmo/hqdefault.jpg,2020-11-01 21:19:30.028901,Neutral,-0.2,"['Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start
