video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date,bias,weight,classifs,classif,pick,round,rec_from,topic_n,topic
t2mXZy9-m0M,CBS This Morning,UC-SJ6nODDmufqBzPBwCvYvQ,1605649023.0,Georgia Secretary of State Raffensperger on continued election pressure from GOP,"Georgia Secretary of State Brad Raffensperger discusses the increased pressure he's facing from fellow Republicans, including Senator Lindsey Graham, ...",,https://i.ytimg.com/vi/t2mXZy9-m0M/hqdefault.jpg,2020-11-17 13:46:27.822955,Right,-0.25,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
K7rA_5zRw7Y,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,1605609774.0,Americans divided over presidential election results,"ABC's Martha Raddatz travels to Ohio and talks with voters about the 2020 election results and the path forward for our country. ABC News Live Prime, ...",,https://i.ytimg.com/vi/K7rA_5zRw7Y/hqdefault.jpg,2020-11-17 13:46:27.822983,Right,-0.3333333333333333,"['PartisanLeft', 'Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
nY-AXsEIW4g,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1605609003.0,Security Experts Weigh In On Trump’s Claims Of Election Fraud | NBC News NOW,"In 2019, NBC News' Jake Ward attended a convention in Las Vegas where hackers attempted to break into voting machines. President Trump referenced that ...",,https://i.ytimg.com/vi/nY-AXsEIW4g/hqdefault.jpg,2020-11-17 13:46:27.823007,Right,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
FTDiSiy5kz8,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605674938.0,Georgia election update with Secretary of State&#39;s Office,Georgia's elections officials will provide their second press conference of the day here on Tuesday at 4 p.m..,,https://i.ytimg.com/vi/FTDiSiy5kz8/hqdefault_live.jpg,2020-11-17 13:46:27.823029,Right,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
eAWHsvgf4xU,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605644249.0,Election coverage | Here&#39;s the latest on the uncounted ballots in Floyd County,The investigation into the vote count continues.,,https://i.ytimg.com/vi/eAWHsvgf4xU/hqdefault.jpg,2020-11-17 13:46:27.823050,Right,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
Iluy4s2IYp4,EWTN,UCijDos-LUTh9RQvSCMQqN6Q,1605598201.0,President Trump Tweets: &#39;I won the Election!&#39; as He Battles to Claim Presidential Election Victory,"President Donald Trump, nearly two weeks after the 2020 Presidential Election, continues to battle on multiple fronts to ultimately try and win the race. Today the ...",,https://i.ytimg.com/vi/Iluy4s2IYp4/hqdefault.jpg,2020-11-17 13:46:27.823071,Right,1.6666666666666667,"['Mainstream News', 'PartisanRight', 'ReligiousConservative']",Far Right,True,0,start,0,Election
WHA_iQUAYlY,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605646888.0,"Election coverage | Uncounted ballots, look at retally results and audit",The county said the uncounted votes could be a computer error.,,https://i.ytimg.com/vi/WHA_iQUAYlY/hqdefault.jpg,2020-11-17 13:46:27.823091,Right,0.0,['Mainstream News'],Neutral,False,0,start,0,Election
fl3dtLJVrNg,Global News,UChLtXXpo4Ge1ReTEboVvTDg,1605672276.0,"US election: Mark Zuckerberg, Jack Dorsey testify before Congress over censorship accusations | FULL",The U.S. Senate Judiciary Committee held a hearing Tuesday to question Twitter CEO Jack Dorsey and Facebook CEO Mark Zuckerberg over decisions made ...,,https://i.ytimg.com/vi/fl3dtLJVrNg/hqdefault.jpg,2020-11-17 13:46:27.823121,Right,0.0,"['StateFunded', 'Mainstream News']",Neutral,False,0,start,0,Election
0qP3rmZxf4U,NBC News,UCeY0bbntWzzVIaj2z3QigXg,1605582026.0,Maryland Gov. Hogan Calls On Trump To Accept Election Results | NBC News NOW,"Maryland Governor Larry Hogan, a Republican, said ""the time has come"" for President Trump to accept that President-elect Joe Biden won the 2020 election ...",,https://i.ytimg.com/vi/0qP3rmZxf4U/hqdefault.jpg,2020-11-17 13:46:27.823142,Right,-0.3333333333333333,"['Mainstream News', 'PartisanLeft', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,0,start,0,Election
mKrr5rQx2Wk,CNET Highlights,UCmKtn_HvpfbTu3QV4lhJIMw,1605663276.0,"Ted Cruz SHOUTS at Dorsey about voter fraud, 2020 election","At a Senate Judiciary Committee, Senator Ted Cruz grills Twitter CEO Jack Dorsey about the 2020 election and how his platform is currently monitoring the ...",,https://i.ytimg.com/vi/mKrr5rQx2Wk/hqdefault.jpg,2020-11-17 13:46:27.823163,Right,0.0,['None'],Neutral,False,0,start,0,Election
vJYL4Osyipc,Saturday Night Live,UCqFzWxSCi39LnW1JKFR3efg,1604845723.0,Biden Victory Cold Open - SNL,"Joe Biden (Jim Carrey) and Donald Trump (Alec Baldwin) give speeches after the conclusion of the 2020 presidential election.

Saturday Night Live.  Stream now on Peacock: https://bit.ly/3j1IRUk

Subscribe to SNL: https://goo.gl/tUsXwM
Stream Current Full Episodes: http://www.nbc.com/saturday-night-live
 
WATCH PAST SNL SEASONS
Google Play - http://bit.ly/SNLGooglePlay
iTunes - http://bit.ly/SNLiTunes
 
SNL ON SOCIAL
SNL Instagram: http://instagram.com/nbcsnl
SNL Facebook: https://www.facebook.com/snl
SNL Twitter: https://twitter.com/nbcsnl
SNL Tumblr: http://nbcsnl.tumblr.com/
SNL Pinterest: http://www.pinterest.com/nbcsnl/
 
GET MORE NBC
Like NBC: http://Facebook.com/NBC
Follow NBC: http://Twitter.com/NBC
NBC Tumblr: http://NBCtv.tumblr.com/
YouTube: http://www.youtube.com/nbc
NBC Instagram: http://instagram.com/nbc
 
#SNL #DaveChappelle #FooFighters #SNL46",,https://i.ytimg.com/vi/vJYL4Osyipc/hqdefault.jpg,2020-11-17 13:46:28.164362,Right,0.0,['None'],Neutral,False,1,Iluy4s2IYp4,0,Election
abg4XKd53pg,NewsNOW from FOX,UCJg9wBPyKMNA5sRDnvzmkdg,1605659654.0,"""YOU'RE EXPOSED"" Mike Lee GRILLS Zuckerberg and Dorsey Over Republican Bias Claims","Watch what’s happening right NOW from FOX. We are a non-stop stream of breaking news, live events and stories taking place across the nation. Experience news as it occurs with limited commentary and no opinion.",,https://i.ytimg.com/vi/abg4XKd53pg/hqdefault.jpg,2020-11-17 13:46:28.164391,Right,1.5714285714285714,"['PartisanRight', 'PartisanRight', 'AntiSJW', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'Mainstream News']",Far Right,False,1,Iluy4s2IYp4,0,Election
7CFhhZhqy_U,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,1605346236.0,"President Trump in legal, financial jeopardy after leaving office","ABC News’ Devin Dwyer reports on the many legal and financial vulnerabilities President Donald Trump faces after his term ends, and whether he can pardon himself before leaving the White House.",,https://i.ytimg.com/vi/7CFhhZhqy_U/hqdefault.jpg,2020-11-17 13:46:28.164415,Right,-0.3333333333333333,"['PartisanLeft', 'Mainstream News', 'Mainstream News', 'PartisanLeft', 'Mainstream News', 'Mainstream News']",Neutral,False,1,Iluy4s2IYp4,0,Election
to_hR0QJl80,Grunge,UCWlIGsKGsvgFJHkiZml4O1A,1603857686.0,Rules Former Presidents Have To Follow,"Just because you were once the commander-in-chief, that doesn't mean you can now do whatever you want. From driving cars to using cell phones, these are the rules that former presidents have to follow.

One of the greatest perks of being president is not having to deal with traffic every day. For one thing, you've got drivers who can take you anywhere you need to go, and for another, the Secret Service can block off traffic for you to ensure your security. It's no fun for anyone else on the road, but hey, you're the president, and you have important things to do.

There is a downside, though. Once a president's term is over, they can never drive a car on an open road again. The reason is because of the lifetime Secret Service detail that all ex-presidents get. After all, one of the least safe places you can be is on the road, and that's just under normal circumstances. Add in that ex-presidents are always a target, and things get even hairier. So, to ensure their safety, they're not allowed to hit the road.

As George W. Bush explained to Jay Leno, he's only allowed to drive on his own private property, far from any reckless drivers or people who wish him harm. He must be driven everywhere by Secret Service agents trained in ""evasive and defensive driving maneuvers."" The rule was instituted after John F. Kennedy's assassination in 1963. Lyndon B. Johnson was, to date, the last president to drive on public roads.

Watch the video for more Rules Former Presidents Have To Follow!

#Presidents #POTUS

No driving | 0:00
Updates for life | 1:19
Mandatory library | 2:34
Bigger Brother | 3:44
Mail screening for life | 5:01
Never alone | 6:09
All the small things | 7:18
Opting out | 8:40

Read full article: https://www.grunge.com/190417/rules-former-presidents-have-to-follow/",,https://i.ytimg.com/vi/to_hR0QJl80/hqdefault.jpg,2020-11-17 13:46:28.164437,Right,0.0,['None'],Neutral,False,1,Iluy4s2IYp4,0,Election
pwq7hbydupw,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1605671330.0,WATCH LIVE: Georgia secretary of state's office officials on 2020 election,"Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour


Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",,https://i.ytimg.com/vi/pwq7hbydupw/hqdefault_live.jpg,2020-11-17 13:46:28.164459,Right,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,False,1,Iluy4s2IYp4,0,Election
1VyLGW417lU,EWTN,UCijDos-LUTh9RQvSCMQqN6Q,1605670441.0,"LIVE | EWTN News Nightly | Tuesday, November 17, 2020","On ""EWTN News Nightly"" tonight: President Donald Trump’s campaign was in a Pennsylvania courtroom Tuesday working legal efforts to stop the 2020 election certification process. Senior editor for 'the Federalist', Christopher Bedford joins to provide analysis on the national importance of the Georgia special elections and the social media censorship surrounding the presidential election. On the second day of the general assembly, the USCCB approved a strategic plan from 2021-2024, a budget for the upcoming year and announced that they will continue their fight against racism. Archbishop Timothy P. Broglio, archbishop of the U.S. military services, shares his perspective on the Vatican's report regarding former Cardinal McCarrick and  also gives an update on the USCCB general assembly. In Rome, police have found hundreds of thousands of euros in cash hidden in two homes of a suspended Vatican official under investigation for corruption. Senior Rome correspondent for Catholic News Agency, Hannah Brockhaus joins to discuss the investigation.
Don't miss out on the latest news and analysis from a Catholic perspective.
Get EWTN News Nightly delivered to your email: https://ewtn.com/enn",,https://i.ytimg.com/vi/1VyLGW417lU/hqdefault_live.jpg,2020-11-17 13:46:28.164481,Right,1.6666666666666667,"['Mainstream News', 'PartisanRight', 'ReligiousConservative']",Far Right,False,1,Iluy4s2IYp4,0,Election
zI9bK1djVAY,The Eric Metaxas Radio Show,UCgkKp5zkTgzJpuEeMaTemjg,1605668366.0,Dick Morris Has An Election-fraud Update After Speaking With The President. Contact Your Reps Now.,"It's ""Tuesday's with Morris"" again and Dick Morris has an election-fraud update after speaking personally with the president -- please contact the reps in all the swing states to demand a fair election and vote count!  Go Here: https://www.dickmorris.com/contact-state-legislature-leaders-to-demand-a-fair-recount/

Follow the show: https://www.metaxastalk.com/
Subscribe to Metaxas Super to watch all interviews commercial-free AND additional exclusive content: https://metaxassuper.com/",,https://i.ytimg.com/vi/zI9bK1djVAY/hqdefault.jpg,2020-11-17 13:46:28.164503,Right,2.0,['PartisanRight'],Far Right,True,1,Iluy4s2IYp4,0,Election
Wehxtwl14mo,EWTN,UCijDos-LUTh9RQvSCMQqN6Q,1605661814.0,EWTN NewsLink - 2020-11-17,Tonight on EWTN News Nightly.,,https://i.ytimg.com/vi/Wehxtwl14mo/hqdefault.jpg,2020-11-17 13:46:28.164524,Right,1.6666666666666667,"['Mainstream News', 'PartisanRight', 'ReligiousConservative']",Far Right,False,1,Iluy4s2IYp4,0,Election
WZWRhLW7Y8w,TED,UCAuUUnT6oDeKwE6v1NGQxug,1603501940.0,What if a US presidential candidate refuses to concede after an election? | Van Jones,"Visit http://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

If the 2020 US presidential election is close, the race could drag on in the courts and halls of Congress long after ballots are cast, says lawyer and political commentator Van Jones. Explaining why the customary concession speech is one of the most important safeguards for democracy, Jones exposes shocking legal loopholes that could enable a candidate to grab power even if they lose both the popular vote and the electoral college -- and shares what ordinary citizens can do if there's no peaceful transfer of power.

The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know. 

Follow TED on Twitter: http://twitter.com/TEDTalks
Like TED on Facebook: http://facebook.com/TED
Subscribe to our channel: http://youtube.com/TED

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy (https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy). For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",,https://i.ytimg.com/vi/WZWRhLW7Y8w/hqdefault.jpg,2020-11-17 13:46:28.164545,Right,0.0,"['Educational', 'Educational', 'Educational']",Neutral,False,1,Iluy4s2IYp4,0,Election
CIxdXe7D9W0,The Late Show with Stephen Colbert,UCMtFAi84ehTSYSE9XoHefig,1605616994.0,Hot Take's bid for Trump's new MAGA news network,"Hot Take discusses the Million MAGA March, rising COVID hoaxes, and their case to be the new Fox News. Plus, co-host of Showtime's ""The Circus"" Alex Wagner joins the show. Watch the full segment on CBS All Access. #TOTN #TooningOut 

Tooning Out The News is Now Streaming, only on CBS All Access.

Subscribe To ""CBS All Access"" Channel HERE: https://bit.ly/39BLBSh
For more content from ""Tooning Out The News"", click HERE: https://bit.ly/3bE6AFv
Watch full episodes of ""Tooning Out The News"" HERE: https://bit.ly/2UxQqrz
Follow ""Tooning Out The News"" on Twitter HERE: https://twitter.com/tooningout
Follow ""Tooning Out The News"" on Instagram HERE: https://www.instagram.com/tooning.out/
Like ""Tooning Out The News"" on Facebook HERE: https://www.facebook.com/tooningout/

Clip air date 11/17/2020
 
© 2020 CBS Interactive. All rights reserved.

CBS All Access. IT'S ON.

Sign Up: https://bit.ly/2D3jkGr

Visit: https://www.cbs.com/",,https://i.ytimg.com/vi/CIxdXe7D9W0/hqdefault.jpg,2020-11-17 13:46:28.164566,Right,-1.5,"['PartisanLeft', 'LateNightTalkShow', 'PartisanLeft', 'LateNightTalkShow', 'LateNightTalkShow', 'PartisanLeft']",Far Left,False,1,Iluy4s2IYp4,0,Election
WzoOIjddDLw,Fox Business,UCCXoCcu9Rp7NPbTzIvogpZg,1605664010.0,"WATCH Cruz grill Dorsey over Twitter's alleged censorship, blocking voter fraud tweets","Sen. Ted Cruz (R-TX) grills Twitter CEO Jack Dorsey over alleged censorship on the platform.

Subscribe to Fox Business! https://bit.ly/2D9Cdse
Watch more Fox Business Video: https://video.foxbusiness.com
Watch Fox Business Network Live: http://www.foxnewsgo.com/

FOX Business Network (FBN) is a financial news channel delivering real-time information across all platforms that impact both Main Street and Wall Street. Headquartered in New York — the business capital of the world — FBN launched in October 2007 and is one of the leading business networks on television, having topped CNBC in Business Day viewers for the second consecutive year in 2018. The network is available in nearly 80 million homes in all markets across the United States. Owned by FOX Corporation, FBN is a unit of FOX News Media and has bureaus in Chicago, Los Angeles, and Washington, D.C.

Watch full episodes of FBN Primetime shows
Lou Dobbs Tonight: https://video.foxbusiness.com/playlist/longform-lou-dobbs-tonight
Kennedy: https://video.foxbusiness.com/playlist/longform-kennedy

Follow Fox Business on Facebook: https://www.facebook.com/FoxBusiness
Follow Fox Business on Twitter: https://twitter.com/foxbusiness
Follow Fox Business on Instagram: https://www.instagram.com/foxbusiness",,https://i.ytimg.com/vi/WzoOIjddDLw/hqdefault.jpg,2020-11-17 13:46:28.465335,Right,1.3333333333333333,"['PartisanRight', 'Mainstream News', 'PartisanRight']",Right,False,2,zI9bK1djVAY,0,Election
FTDiSiy5kz8,11Alive,UCzF4Ryn8TKn64md77gS5Q5Q,1605674938.0,Georgia election update with Secretary of State's Office,Georgia's elections officials will provide their second press conference of the day here on Tuesday at 4 p.m.,,https://i.ytimg.com/vi/FTDiSiy5kz8/hqdefault_live.jpg,2020-11-17 13:46:28.465365,Right,0.0,['Mainstream News'],Neutral,False,2,zI9bK1djVAY,0,Election
pUx759GJUfg,NewsNOW from FOX,UCJg9wBPyKMNA5sRDnvzmkdg,1605676730.0,HOUSE GOP ATTACKS SPEAKER PELOSI Amid Lagging COVID-19 RELIEF,"Watch what’s happening right NOW from FOX. We are a non-stop stream of breaking news, live events and stories taking place across the nation. Experience news as it occurs with limited commentary and no opinion.",,https://i.ytimg.com/vi/pUx759GJUfg/hqdefault.jpg,2020-11-17 13:46:28.465389,Right,1.5714285714285714,"['PartisanRight', 'PartisanRight', 'AntiSJW', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'Mainstream News']",Far Right,False,2,zI9bK1djVAY,0,Election
pwq7hbydupw,PBS NewsHour,UC6ZFN9Tx6xh-skXCuRHCDpQ,1605671330.0,WATCH LIVE: Georgia secretary of state's office officials on 2020 election,"Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour


Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",,https://i.ytimg.com/vi/pwq7hbydupw/hqdefault_live.jpg,2020-11-17 13:46:28.465412,Right,-0.1111111111111111,"['PartisanLeft', 'Mainstream News', 'Educational', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News', 'StateFunded', 'Mainstream News']",Neutral,False,2,zI9bK1djVAY,0,Election
n_p1sonhp-k,The Eric Metaxas Radio Show,UCgkKp5zkTgzJpuEeMaTemjg,1605603131.0,The Affidavit: Sidney Powell With Lou Dobbs,"The Affidavit: Sidney Powell With Lou Dobbs

Follow the show: https://www.metaxastalk.com/
Subscribe to Metaxas Super to watch all interviews commercial-free AND additional exclusive content: https://metaxassuper.com/",,https://i.ytimg.com/vi/n_p1sonhp-k/hqdefault.jpg,2020-11-17 13:46:28.465434,Right,2.0,['PartisanRight'],Far Right,True,2,zI9bK1djVAY,0,Election
83F4Gehx1M8,Fox Business,UCCXoCcu9Rp7NPbTzIvogpZg,1605667734.0,'It's time to take action': Sen Hawley sounds off on tech CEOs,"Senator Josh Hawley (R-MO) calls tech CEOs 'modern day robber barons' as he grills the social media leaders on censorship and tracking user data.

Subscribe to Fox Business! https://bit.ly/2D9Cdse
Watch more Fox Business Video: https://video.foxbusiness.com
Watch Fox Business Network Live: http://www.foxnewsgo.com/

FOX Business Network (FBN) is a financial news channel delivering real-time information across all platforms that impact both Main Street and Wall Street. Headquartered in New York — the business capital of the world — FBN launched in October 2007 and is one of the leading business networks on television, having topped CNBC in Business Day viewers for the second consecutive year in 2018. The network is available in nearly 80 million homes in all markets across the United States. Owned by FOX Corporation, FBN is a unit of FOX News Media and has bureaus in Chicago, Los Angeles, and Washington, D.C.

Watch full episodes of FBN Primetime shows
Lou Dobbs Tonight: https://video.foxbusiness.com/playlist/longform-lou-dobbs-tonight
Kennedy: https://video.foxbusiness.com/playlist/longform-kennedy

Follow Fox Business on Facebook: https://www.facebook.com/FoxBusiness
Follow Fox Business on Twitter: https://twitter.com/foxbusiness
Follow Fox Business on Instagram: https://www.instagram.com/foxbusiness",,https://i.ytimg.com/vi/83F4Gehx1M8/hqdefault.jpg,2020-11-17 13:46:28.465456,Right,1.3333333333333333,"['PartisanRight', 'Mainstream News', 'PartisanRight']",Right,False,2,zI9bK1djVAY,0,Election
KpljCyzyBsQ,Bloomberg Quicktake: Now,UChirEOpgFCupRAk5etXqPaA,1605676013.0,LIVE: Georgia Election Officials Give Briefing as Trump Attacks Mail-In Voting,"(Nov. 17) The Republican secretary of state in Georgia said he believes that President Donald Trump cost himself votes with his campaign to undermine mail-in voting.

Secretary of State Brad Raffensperger said Trump’s frequent and unsubstantiated accusations of mail-in voting fraud likely contributed to 24,500 people who voted in the state’s Republican primary not voting in the Nov. 3 election -- possibly accounting for President-elect Joe Biden’s 14,000-vote advantage in the state.

“In effect, what you’re doing is you are suppressing your own voters,” Raffensperger said in a telephone interview. “I have no control over what campaigns do, and if they do ill-advised actions that suppress their own vote, what can I do?”

Raffensperger also said he believes Senator Lindsey Graham, a Trump ally, tried to urge him to throw out absentee ballots. The state official criticized what he called a “campaign of misinformation, disinformation and outright lies about the process in Georgia.”

The Trump campaign has said it’s found widespread voting irregularities but has cited little evidence to substantiate its claims and none has emerged. Trump and his allies have also filed lawsuits in the state. One, alleging that fewer than 60 absentee ballots in Chatham County were improperly counted, has already been dismissed, while another that seeks to stop the state from certifying results is pending.

Raffensperger said that the state, which is conducting a hand recount of 5 million ballots cast in the election, is on track to complete that process by Wednesday night’s deadline and that he doesn’t expect significant changes in the vote totals. The state will also certify the results by Friday if a court doesn’t intervene. Trump can ask for a recount after that with ballots run through scanners, he said.

Graham, a South Carolina Republican, disputed Raffensperger’s accusation that he urged the Georgia secretary of state to toss ballots, first reported in the Washington Post, calling it “ridiculous.

“What I’m trying to find is how do you verify signatures on mail-in ballots in these states that are the center of attention,” Graham said.

But Raffensperger said Graham and Trump aren’t taking into account how the signature-matching system has been strengthened, including the addition of an online portal to allow a photo identification to be used.

The secretary of state’s office has been batting down rumors and half-truths about the election almost daily, including from the Trump campaign, he said.

“It’s just an outright lie what people are saying,” Raffensperger said.

Georgia’s two Republican senators, David Perdue and Kelly Loeffler, have called on Raffensperger to resign. Republican Representative Doug Collins, a close ally of the president who’s overseeing the recount for the campaign, has also criticized Raffensperger.

“I guess if you’re a shill for President Trump you can get away with it, no one holds him accountable,” Raffensperger said of Collins.

Raffensperger said the audit now being completed should give voters confidence in the results.

“The reason we’ve done an audit is that we make sure that every legal vote has been counted, and that should give people assurance that we’re making sure that it’s a thorough process so there can be no question afterwards,” he said.

Subscribe to our YouTube channel: https://bit.ly/2TwO8Gm

Bloomberg Quicktake brings you live global news and original shows spanning business, technology, politics and culture. Make sense of the stories changing your business and your world.

To watch complete coverage on Bloomberg Quicktake 24/7, visit http://www.bloomberg.com/qt/live, or watch on Apple TV, Roku, Samsung Smart TV, Fire TV and Android TV on the Bloomberg app.

Connect with us on…
YouTube: https://www.youtube.com/user/Bloomberg
Breaking News on YouTube: https://www.youtube.com/c/BloombergQuickTakeNews
Twitter: https://twitter.com/quicktake
Facebook: https://www.facebook.com/quicktake
Instagram: https://www.instagram.com/quicktake",,https://i.ytimg.com/vi/KpljCyzyBsQ/hqdefault_live.jpg,2020-11-17 13:46:28.465478,Right,0.0,['Mainstream News'],Neutral,False,2,zI9bK1djVAY,0,Election
xBJx9kqa9bc,NewsNOW from FOX,UCJg9wBPyKMNA5sRDnvzmkdg,1605665744.0,BREAKING: Josh Hawley Uncovers SECRET Facebook Content Monitoring...,"Watch what’s happening right NOW from FOX. We are a non-stop stream of breaking news, live events and stories taking place across the nation. Experience news as it occurs with limited commentary and no opinion.",,https://i.ytimg.com/vi/xBJx9kqa9bc/hqdefault.jpg,2020-11-17 13:46:28.465499,Right,1.5714285714285714,"['PartisanRight', 'PartisanRight', 'AntiSJW', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'Mainstream News']",Far Right,False,2,zI9bK1djVAY,0,Election
abg4XKd53pg,NewsNOW from FOX,UCJg9wBPyKMNA5sRDnvzmkdg,1605659654.0,"""YOU'RE EXPOSED"" Mike Lee GRILLS Zuckerberg and Dorsey Over Republican Bias Claims","Watch what’s happening right NOW from FOX. We are a non-stop stream of breaking news, live events and stories taking place across the nation. Experience news as it occurs with limited commentary and no opinion.",,https://i.ytimg.com/vi/abg4XKd53pg/hqdefault.jpg,2020-11-17 13:46:28.465520,Right,1.5714285714285714,"['PartisanRight', 'PartisanRight', 'AntiSJW', 'Mainstream News', 'PartisanRight', 'Mainstream News', 'Mainstream News']",Far Right,False,2,zI9bK1djVAY,0,Election
SFCXPw1t17o,The Eric Metaxas Radio Show,UCgkKp5zkTgzJpuEeMaTemjg,1605393861.0,Sidney Powell With Lou Dobbs: Release The Kraken,"Follow the show: https://www.metaxastalk.com/
Subscribe to Metaxas Super to watch all interviews commercial-free AND additional exclusive content: https://metaxassuper.com/",,https://i.ytimg.com/vi/SFCXPw1t17o/hqdefault.jpg,2020-11-17 13:46:28.465541,Right,2.0,['PartisanRight'],Far Right,False,2,zI9bK1djVAY,0,Election
