RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
18085.257738771,,Center/Left MSM,,Mainstream Media,,C
110.828914938,Center/Left MSM,White Identitarian,Mainstream Media,YouTube,L,R
3144.104330603,,Unclassified,,YouTube,,R
309741.242265967,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,C,R
71.356178019,,Social Justice,,Missing Link Media,,L
232.665376112,,Religious Conservative,,YouTube,,R
56191.501469831,Partisan Left,Conspiracy,Mainstream Media,YouTube,L,C
1615997.47277583,Social Justice,Center/Left MSM,Missing Link Media,Mainstream Media,L,C
224395.7912958,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,C,C
515280.249826952,Center/Left MSM,Partisan Right,Mainstream Media,YouTube,L,R
53105.180650507,Center/Left MSM,Socialist,Mainstream Media,YouTube,C,L
4019254.29274693,Center/Left MSM,Social Justice,Mainstream Media,Mainstream Media,C,L
56266.390607196,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,L,R
134368.737937625,Partisan Left,Socialist,YouTube,YouTube,L,L
54748.181753336,Conspiracy,Anti-SJW,YouTube,YouTube,C,R
4785.71783036,Unclassified,QAnon,YouTube,YouTube,C,R
580.840366469,Center/Left MSM,White Identitarian,Mainstream Media,YouTube,C,R
193340.104488588,Conspiracy,Religious Conservative,YouTube,YouTube,R,R
4677.446339912,Anti-SJW,Conspiracy,YouTube,YouTube,C,R
12481.730020277,Anti-SJW,Unclassified,YouTube,Mainstream Media,C,R
11379.253319132,Libertarian,Socialist,YouTube,YouTube,R,L
7963.896395544,Partisan Right,QAnon,YouTube,YouTube,R,R
541285.202479952,Partisan Right,Anti-SJW,YouTube,YouTube,R,C
102944.316606729,Social Justice,Partisan Right,Mainstream Media,YouTube,L,R
613875.871165527,Anti-SJW,Center/Left MSM,YouTube,Mainstream Media,R,L
44731.948286552,Unclassified,Social Justice,YouTube,YouTube,C,L
223.004780283,QAnon,Libertarian,YouTube,YouTube,R,C
16719.60161648,Partisan Left,Black,Mainstream Media,YouTube,L,L
28.093968355,Partisan Right,Unclassified,Mainstream Media,YouTube,C,L
12934.924153997,Unclassified,Partisan Right,YouTube,YouTube,L,R
907.704581027,Partisan Left,Libertarian,YouTube,YouTube,L,C
439.442003979,Unclassified,Religious Conservative,YouTube,YouTube,L,R
60727.892427439,QAnon,Conspiracy,YouTube,YouTube,R,C
759759.321284398,Social Justice,Center/Left MSM,Missing Link Media,Mainstream Media,L,L
15825.57633638,Social Justice,Unclassified,YouTube,Mainstream Media,L,R
172572.043565768,Conspiracy,Libertarian,YouTube,YouTube,R,R
19268.655134682,Conspiracy,Unclassified,YouTube,YouTube,R,L
103424.917728312,Partisan Left,Libertarian,Mainstream Media,YouTube,L,R
14838.135610322,Unclassified,Anti-SJW,YouTube,YouTube,L,C
4558.940598701,Partisan Right,Social Justice,Missing Link Media,YouTube,R,L
59108.192681522,Unclassified,Anti-SJW,YouTube,YouTube,R,R
6337.68416979,Conspiracy,Anti-theist,YouTube,YouTube,R,C
24534.439317504,Unclassified,Unclassified,YouTube,YouTube,C,L
105615.687919992,Unclassified,Partisan Left,YouTube,Mainstream Media,L,L
108.870346561,Anti-theist,White Identitarian,YouTube,YouTube,C,R
24153.125053596,Conspiracy,Libertarian,YouTube,YouTube,C,R
98593.145823567,Socialist,Center/Left MSM,YouTube,Mainstream Media,L,C
34445.007793912,Libertarian,Social Justice,YouTube,Mainstream Media,R,L
4344.628961814,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,C,C
15037.273756387,Social Justice,Conspiracy,YouTube,YouTube,L,C
196.13482543,Libertarian,Partisan Right,YouTube,YouTube,R,C
3114.151901644,Conspiracy,Religious Conservative,YouTube,YouTube,R,C
7011.674645988,Partisan Right,Libertarian,YouTube,YouTube,R,C
149.567920347,Center/Left MSM,Partisan Left,Mainstream Media,Mainstream Media,L,C
4.046219967,Religious Conservative,Black,YouTube,YouTube,C,C
40508.298515356,Conspiracy,Social Justice,YouTube,Mainstream Media,C,L
147.437633799,Conspiracy,Black,YouTube,YouTube,R,R
4160.32403608,Black,Unclassified,YouTube,YouTube,L,R
3976.258784764,Partisan Right,Unclassified,YouTube,Mainstream Media,C,R
32585.106843558,Religious Conservative,Social Justice,Missing Link Media,Missing Link Media,R,L
199.515706395,Partisan Right,MRA,Missing Link Media,YouTube,R,R
0,,LGBT,,YouTube,,L
169046.311888766,Anti-SJW,Partisan Right,YouTube,Missing Link Media,R,R
1069180.68736767,Black,Black,YouTube,YouTube,C,C
935215.8210066,Libertarian,Libertarian,YouTube,YouTube,R,R
174956.360365482,Anti-SJW,Unclassified,YouTube,YouTube,R,R
29314.049156109,Unclassified,Partisan Left,YouTube,YouTube,L,L
6158.511519133,Conspiracy,Socialist,YouTube,YouTube,C,L
161522.461731131,Partisan Right,Center/Left MSM,Missing Link Media,Mainstream Media,R,C
11198.795429391,Religious Conservative,Conspiracy,YouTube,YouTube,R,C
651244.55842727,Anti-SJW,Social Justice,YouTube,Mainstream Media,R,L
8339.761703253,Partisan Left,Partisan Right,YouTube,Missing Link Media,L,R
625.863044182,Conspiracy,Anti-theist,YouTube,YouTube,C,L
189196.302899189,Socialist,Partisan Left,YouTube,YouTube,L,L
75064.857047146,White Identitarian,Anti-SJW,YouTube,YouTube,R,C
424.721094447,Unclassified,MRA,YouTube,YouTube,R,R
58857.025784655,Unclassified,Social Justice,YouTube,Missing Link Media,C,L
113.615500736,Socialist,MRA,YouTube,YouTube,L,C
31.443506054,QAnon,MRA,YouTube,YouTube,R,C
11217.631726819,Socialist,Social Justice,YouTube,Missing Link Media,L,L
6796.484788051,Social Justice,Socialist,Mainstream Media,YouTube,L,L
465.366138165,Partisan Left,Social Justice,YouTube,YouTube,C,L
1574.613787119,Center/Left MSM,MRA,Mainstream Media,YouTube,L,R
92600.264976013,Partisan Left,Unclassified,YouTube,YouTube,L,L
171075.078578896,Socialist,Partisan Left,YouTube,Mainstream Media,L,L
19532.446604387,Center/Left MSM,Religious Conservative,Mainstream Media,Missing Link Media,C,R
2502.769772186,Partisan Left,Partisan Right,Mainstream Media,YouTube,L,C
7962.003683353,Partisan Right,QAnon,Mainstream Media,YouTube,R,R
326.921646557,Anti-theist,MRA,YouTube,YouTube,C,R
2777.420246863,Black,Religious Conservative,YouTube,YouTube,C,R
984.580849766,Unclassified,Black,YouTube,YouTube,L,L
84334.955792642,Partisan Right,Social Justice,Mainstream Media,YouTube,R,L
4968.672925016,Anti-theist,Socialist,YouTube,YouTube,C,L
4.833304943,Partisan Left,Partisan Right,YouTube,Missing Link Media,C,R
2743.341586805,MRA,MRA,YouTube,YouTube,R,C
30197.996821518,Center/Left MSM,Partisan Left,Missing Link Media,Mainstream Media,C,L
7088847.18299208,Anti-SJW,,YouTube,,C,
31.683224726,Black,Libertarian,YouTube,YouTube,C,C
15933.542890613,Social Justice,Socialist,Missing Link Media,YouTube,L,L
1709.592527797,Unclassified,Social Justice,Mainstream Media,YouTube,R,L
3238.67179419,Socialist,LGBT,YouTube,YouTube,L,L
18468.32566976,Partisan Right,Anti-SJW,YouTube,YouTube,C,R
47.644753838,Socialist,Center/Left MSM,YouTube,Mainstream Media,C,C
52.676073224,Anti-theist,MRA,YouTube,YouTube,L,R
241.79592908,Libertarian,Black,YouTube,YouTube,R,L
40089.086367008,Partisan Left,Unclassified,Mainstream Media,Mainstream Media,L,L
38379.015155661,Unclassified,Unclassified,YouTube,Mainstream Media,C,R
1758.317731386,Anti-theist,Center/Left MSM,YouTube,Mainstream Media,L,L
136042.459146933,Black,Partisan Right,YouTube,Mainstream Media,C,R
33583.745880535,Center/Left MSM,Social Justice,Missing Link Media,Mainstream Media,C,L
6.673959005,Center/Left MSM,Libertarian,Missing Link Media,YouTube,L,R
6050815.72976051,Partisan Left,,YouTube,,L,
4460.871991618,Libertarian,Partisan Right,YouTube,YouTube,C,R
4216.576949449,Religious Conservative,Anti-SJW,YouTube,Missing Link Media,R,R
893.19280638,Anti-theist,Conspiracy,YouTube,YouTube,L,C
1106.380566343,Anti-SJW,Anti-SJW,YouTube,YouTube,R,L
0.4310612131,Partisan Left,White Identitarian,YouTube,YouTube,C,R
1539.435421008,Partisan Right,Religious Conservative,YouTube,YouTube,C,R
12402.420269236,Black,Social Justice,YouTube,Missing Link Media,L,L
1103.85588522,White Identitarian,Black,YouTube,YouTube,R,C
6.504300881,Unclassified,Anti-SJW,YouTube,Missing Link Media,R,R
2419.639148454,Conspiracy,Anti-theist,YouTube,YouTube,R,L
108.162097503,Black,Partisan Left,YouTube,YouTube,C,C
23675.386673526,Unclassified,Center/Left MSM,YouTube,Missing Link Media,C,C
6741.066079872,Unclassified,Partisan Left,YouTube,YouTube,C,C
1530.210019098,MRA,Anti-theist,YouTube,YouTube,R,L
78.834759057,Conspiracy,Conspiracy,YouTube,YouTube,L,R
11775.156058234,Unclassified,Unclassified,YouTube,Mainstream Media,R,R
5682.990505878,Anti-theist,Unclassified,YouTube,YouTube,C,L
21478.113686252,Partisan Right,Partisan Left,YouTube,YouTube,C,L
9.400830375,Religious Conservative,Social Justice,YouTube,Missing Link Media,C,L
1284.849566882,Social Justice,Social Justice,YouTube,YouTube,L,C
3279.668503634,MRA,Center/Left MSM,YouTube,Mainstream Media,C,C
207969.713147984,Partisan Right,Partisan Left,YouTube,Mainstream Media,C,L
0,Center/Left MSM,MRA,Missing Link Media,YouTube,C,C
142.478795172,Conspiracy,MRA,YouTube,YouTube,R,C
263.085108864,Social Justice,Partisan Right,Missing Link Media,YouTube,L,C
635.019409018,Anti-SJW,Socialist,YouTube,YouTube,C,C
2480.68234278,Anti-SJW,Socialist,Missing Link Media,YouTube,R,L
1691.865977466,Partisan Left,Partisan Left,YouTube,Mainstream Media,C,L
33.755888968,Social Justice,Center/Left MSM,YouTube,Mainstream Media,C,L
1205.12030893,QAnon,Religious Conservative,YouTube,YouTube,C,R
2935.228506918,Conspiracy,Partisan Left,YouTube,YouTube,R,C
73.195001423,Black,Conspiracy,YouTube,YouTube,R,R
447.996341666,Unclassified,Religious Conservative,YouTube,Missing Link Media,L,R
35935.70687098,Social Justice,Unclassified,Missing Link Media,YouTube,L,R
403.70978949,Partisan Right,Partisan Left,Missing Link Media,YouTube,R,C
279.661080675,White Identitarian,QAnon,YouTube,YouTube,R,R
20.739628341,Partisan Right,Anti-SJW,Mainstream Media,YouTube,C,C
0.6224344091,QAnon,Center/Left MSM,YouTube,Missing Link Media,R,L
0.0349520625,Social Justice,Partisan Left,YouTube,YouTube,C,C
112.140015044,Partisan Left,Unclassified,Mainstream Media,YouTube,C,C
508.941221821,Religious Conservative,Unclassified,YouTube,YouTube,C,C
8579.80622211,Center/Left MSM,Socialist,Mainstream Media,YouTube,L,L
2.573843486,Anti-SJW,QAnon,YouTube,YouTube,C,C
420.060437522,Partisan Right,QAnon,Missing Link Media,YouTube,R,R
3439.166372694,Anti-theist,Religious Conservative,YouTube,YouTube,L,R
15385.854429002,White Identitarian,Partisan Left,YouTube,YouTube,R,L
30430.336408792,Unclassified,Anti-SJW,Mainstream Media,YouTube,R,R
29383.897850412,Center/Left MSM,Social Justice,Missing Link Media,YouTube,C,L
86897.373445174,Unclassified,Anti-SJW,YouTube,YouTube,R,C
1024127.98985584,Libertarian,Partisan Right,YouTube,Mainstream Media,R,R
5287.197239945,Conspiracy,Black,YouTube,YouTube,C,C
1482.84546004,Partisan Right,Unclassified,Missing Link Media,YouTube,R,L
78316.479797731,Conspiracy,Social Justice,YouTube,Missing Link Media,R,L
4237.168828362,Social Justice,Partisan Right,Mainstream Media,Missing Link Media,L,R
880544.114299662,Religious Conservative,Partisan Right,YouTube,Mainstream Media,R,R
350341.339797272,Conspiracy,Center/Left MSM,YouTube,Mainstream Media,R,L
1.60276049,Anti-SJW,LGBT,YouTube,YouTube,R,C
339.024972802,Unclassified,Partisan Right,YouTube,YouTube,R,C
2285531.57949848,Conspiracy,,YouTube,,C,
167.354271498,Conspiracy,QAnon,YouTube,YouTube,R,C
52054.016644906,Socialist,Partisan Right,YouTube,Mainstream Media,L,R
0.9174643253,Partisan Left,Unclassified,Mainstream Media,YouTube,C,L
41.49578921,Black,White Identitarian,YouTube,YouTube,C,R
67744.900397494,Religious Conservative,Libertarian,Missing Link Media,YouTube,R,R
3266.63346495,Black,Unclassified,YouTube,YouTube,C,L
35197.391035564,Conspiracy,Partisan Right,YouTube,Missing Link Media,R,R
10712.36867372,QAnon,Socialist,YouTube,YouTube,R,L
618.891911315,Conspiracy,LGBT,YouTube,YouTube,R,L
513378.320709758,Anti-SJW,Partisan Right,Missing Link Media,Mainstream Media,R,R
2134.522596091,MRA,Libertarian,YouTube,YouTube,C,R
1627.834483103,QAnon,Social Justice,YouTube,Mainstream Media,C,L
4448.367238772,Social Justice,Partisan Left,YouTube,YouTube,L,C
1079.435717953,Social Justice,Religious Conservative,Missing Link Media,YouTube,L,R
3070.238050135,Socialist,Unclassified,YouTube,Mainstream Media,L,R
94.327313814,Unclassified,Religious Conservative,YouTube,YouTube,R,C
16552.152285297,Anti-theist,Partisan Right,YouTube,Mainstream Media,C,R
387.482853949,Unclassified,,Mainstream Media,,L,
3823.201007532,Libertarian,Partisan Left,YouTube,YouTube,C,L
278.448465024,Anti-theist,Partisan Right,YouTube,Missing Link Media,C,R
48.771165794,Socialist,Conspiracy,YouTube,YouTube,C,C
49204.324457231,Anti-SJW,Social Justice,Missing Link Media,Mainstream Media,R,L
1618.600511117,Partisan Right,Partisan Right,YouTube,Missing Link Media,C,R
64.728398516,Conspiracy,Unclassified,YouTube,YouTube,L,C
16842.191260427,Conspiracy,Partisan Right,YouTube,Mainstream Media,R,C
434.265714919,Partisan Left,Socialist,YouTube,YouTube,C,L
5.543098786,Black,Black,YouTube,YouTube,R,C
399.700108442,QAnon,Black,YouTube,YouTube,R,L
868.706776989,Anti-SJW,Partisan Left,Missing Link Media,YouTube,R,C
2451.425333802,Religious Conservative,Partisan Right,YouTube,Mainstream Media,R,C
548.971801086,Anti-SJW,Partisan Right,YouTube,Mainstream Media,C,C
62059.454717895,Religious Conservative,Social Justice,Missing Link Media,Mainstream Media,R,L
5.236771545,Anti-theist,Anti-SJW,YouTube,Missing Link Media,L,R
1.162651858,Partisan Right,LGBT,Mainstream Media,YouTube,R,L
44.7260448,Conspiracy,Religious Conservative,YouTube,YouTube,L,R
1953.901830784,Libertarian,Center/Left MSM,YouTube,Missing Link Media,R,C
440.510544626,Partisan Right,LGBT,YouTube,YouTube,R,L
12.631957213,Partisan Right,Partisan Right,Mainstream Media,YouTube,C,R
76114.521988652,Religious Conservative,Unclassified,Missing Link Media,YouTube,R,C
0.556191554,Unclassified,Anti-SJW,Mainstream Media,YouTube,L,R
1.212938182,Unclassified,QAnon,YouTube,YouTube,R,C
6675.577152765,Anti-SJW,Anti-SJW,YouTube,YouTube,L,C
59.392003849,Conspiracy,Unclassified,YouTube,Mainstream Media,R,L
635.318666744,MRA,Social Justice,YouTube,Mainstream Media,C,L
741.3488409,Black,Anti-theist,YouTube,YouTube,C,C
0.6172156072,Unclassified,Black,YouTube,YouTube,R,R
39.511976294,Unclassified,Social Justice,YouTube,Mainstream Media,C,C
1358.043031588,Black,Partisan Right,YouTube,Mainstream Media,L,C
22.236116462,Anti-theist,Partisan Left,YouTube,YouTube,L,C
8006.725299667,Partisan Right,Unclassified,YouTube,Mainstream Media,R,L
59.903187849,Libertarian,Anti-SJW,YouTube,Missing Link Media,C,R
86.043491895,Libertarian,MRA,YouTube,YouTube,R,C
20.329057803,Social Justice,Center/Left MSM,Mainstream Media,Missing Link Media,L,L
220.028657142,Center/Left MSM,Unclassified,Missing Link Media,YouTube,L,C
0.1433948864,Socialist,Partisan Left,YouTube,YouTube,C,C
2378.386421935,Unclassified,Black,Mainstream Media,YouTube,R,C
306.632661997,LGBT,Social Justice,YouTube,Missing Link Media,L,L
94.856137278,Partisan Right,Anti-theist,Missing Link Media,YouTube,R,L
0.4018825824,Partisan Left,Social Justice,Mainstream Media,YouTube,C,L
2028.595402817,Anti-SJW,Center/Left MSM,Missing Link Media,Missing Link Media,R,C
97.639699598,Black,Anti-theist,YouTube,YouTube,L,C
0.01079545455,Partisan Left,Partisan Left,Mainstream Media,YouTube,C,C
470.124266291,Anti-SJW,Black,Missing Link Media,YouTube,R,L
4.578522256,LGBT,QAnon,YouTube,YouTube,L,R
9.662115538,Black,Partisan Right,YouTube,YouTube,R,R
206.977113776,Black,Anti-theist,YouTube,YouTube,C,L
27.92499831,Anti-theist,Black,YouTube,YouTube,C,L
8.052457148,Unclassified,Center/Left MSM,Mainstream Media,Missing Link Media,R,L
4.395201507,MRA,Libertarian,YouTube,YouTube,C,C
29.312852376,Anti-theist,Unclassified,YouTube,Mainstream Media,C,L
11.934632455,Center/Left MSM,Anti-theist,Missing Link Media,YouTube,C,L
1.028858781,Partisan Left,Black,Mainstream Media,YouTube,C,C
12.594633539,MRA,Partisan Right,YouTube,YouTube,R,C
0,Religious Conservative,Conspiracy,Missing Link Media,YouTube,R,L
23.642940941,LGBT,Conspiracy,YouTube,YouTube,L,C
4026.050724183,Partisan Right,Religious Conservative,YouTube,Missing Link Media,C,R
856.570733715,Unclassified,MRA,Mainstream Media,YouTube,R,R
53.75166008,Partisan Right,Center/Left MSM,YouTube,Missing Link Media,C,C
19.421496277,Socialist,Center/Left MSM,YouTube,Mainstream Media,C,L
0,Center/Left MSM,Anti-SJW,Missing Link Media,Missing Link Media,C,R
20.869693361,Unclassified,Religious Conservative,YouTube,YouTube,L,C
44.767473176,Partisan Right,Anti-SJW,YouTube,Missing Link Media,C,R
44.228028708,Center/Left MSM,Social Justice,Mainstream Media,Mainstream Media,C,C
316.926603076,Partisan Left,Partisan Left,YouTube,Mainstream Media,L,C
4.321266752,QAnon,Anti-SJW,YouTube,YouTube,R,L
2459.001144214,Anti-SJW,Religious Conservative,Missing Link Media,YouTube,R,C
2.448893452,Social Justice,Partisan Right,YouTube,Missing Link Media,C,R
111.452643711,Socialist,Social Justice,YouTube,YouTube,L,C
0.6976589489,Partisan Right,LGBT,YouTube,YouTube,C,L
352.488466509,QAnon,Partisan Right,YouTube,Missing Link Media,C,R
4.868311719,Partisan Left,Partisan Left,Mainstream Media,YouTube,C,L
6.272207654,Socialist,Center/Left MSM,YouTube,Missing Link Media,L,L
1058.940952196,QAnon,Socialist,YouTube,YouTube,C,L
12.336963007,Unclassified,Unclassified,Mainstream Media,YouTube,L,L
0.0008440795455,Social Justice,Social Justice,Missing Link Media,Mainstream Media,L,C
13.969303456,LGBT,Black,YouTube,YouTube,L,L
0.002840909091,Religious Conservative,Partisan Left,YouTube,Mainstream Media,R,C
0.01425656641,Center/Left MSM,Center/Left MSM,Missing Link Media,Missing Link Media,C,L
0,Partisan Left,Anti-theist,Mainstream Media,YouTube,C,L
1.554163315,Partisan Left,Socialist,YouTube,YouTube,C,C
0,Socialist,LGBT,YouTube,YouTube,L,C
8.359210926,Partisan Right,Social Justice,Missing Link Media,YouTube,R,C
0.2196294773,Libertarian,Center/Left MSM,YouTube,Missing Link Media,C,L
2.249135653,Black,Anti-theist,YouTube,YouTube,R,C
4.317315059,Black,Religious Conservative,YouTube,YouTube,L,C
0.144983046,Anti-SJW,MRA,YouTube,YouTube,L,R
10.61177388,LGBT,Unclassified,YouTube,Mainstream Media,L,R
0,Center/Left MSM,Partisan Right,Missing Link Media,Missing Link Media,C,R
0,Unclassified,Partisan Right,Mainstream Media,Mainstream Media,L,R
0,Partisan Right,QAnon,YouTube,YouTube,C,C
0,Center/Left MSM,Anti-SJW,Missing Link Media,Missing Link Media,L,R
0.0191199375,Partisan Left,Socialist,Mainstream Media,YouTube,C,L
5.830484693,Religious Conservative,Unclassified,YouTube,Mainstream Media,C,R
0.2051299432,MRA,Social Justice,YouTube,YouTube,C,C
0.02911955114,Unclassified,LGBT,YouTube,YouTube,R,C
0.04367085227,Conspiracy,Socialist,YouTube,YouTube,L,L
0.2298351477,Socialist,Religious Conservative,YouTube,Missing Link Media,C,R
0,Unclassified,White Identitarian,YouTube,YouTube,C,C
5.917181209,Social Justice,Anti-SJW,YouTube,Missing Link Media,C,R
